taxon	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	lfc_SampleSiteTANK WATER_SampleSiteORAL	se_SampleSiteORAL	se_SampleSiteTANK WATER	se_SampleSiteTANK WATER_SampleSiteORAL	W_SampleSiteORAL	W_SampleSiteTANK WATER	W_SampleSiteTANK WATER_SampleSiteORAL	p_SampleSiteORAL	p_SampleSiteTANK WATER	p_SampleSiteTANK WATER_SampleSiteORAL	q_SampleSiteORAL	q_SampleSiteTANK WATER	q_SampleSiteTANK WATER_SampleSiteORAL	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	diff_SampleSiteTANK WATER_SampleSiteORAL	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Neptuniibacter;s__Neptuniibacter_caesariensis	-0.16054861388072805	1.0670530628778185	1.2276016767585465	0.5241220066430723	0.6572787342630422	0.7253327192229154	-0.30631916203828063	1.6234407219552385	1.692466979945061	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.12951494190665605	0.10531850911532671	0.1376403301968739	0.2743047411215036	0.10531850911532671	0.1376403301968739	0.3981295202996376
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__0319-6G20;g__0319-6G20;s__uncultured_bacterium	0.013274753040690269	1.5967286857865908	1.5834539327459005	0.4434791276110166	0.5572662616463246	0.6285321942108799	0.029933208158409184	2.865288634322479	2.5192885063491803	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.2627819389840615	0.2583436864698656	0	0	0.2583436864698656	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia-Loktanella;__	1.4667113908544902	1.5666072700644178	0.0998958792099276	0.6927002788459937	0.8663861604175891	0.9316622588793249	2.1173824172526143	1.8082090199932666	0.10722327566439158	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.18931780132763998	0	0	0	0	0	0.019522069662120327
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__Arenicellaceae;g__HTCC5015;s__uncultured_gamma	0.7369331603204062	0.7146464515084181	-0.022286708811988132	0.9009584341331234	1.1248130026989593	1.190701725484669	0.817943572535022	0.635346897478641	-0.01871728942268597	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.07206761719485037	0.012631189610511264	0.1436116926111681	0.0610059350901893	0.012631189610511257	0.14361169261116813	0.09356108996067698
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Fusibacteraceae;g__Fusibacter;s__uncultured_bacterium	0.7526836031909935	-2.551880454881406	-3.3045640580723994	0.7274812634327512	0.9095387801988689	0.974682697299705	1.034643283648737	-2.8056862559762896	-3.3903998370212984	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.02663823135930587	0.017545762595444093	0	0	0.017545762595444072	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kordiimonadales;f__uncultured;g__uncultured;s__uncultured_bacterium	0.7004993600080347	0.22993605281186474	-0.47056330719616996	0.523700122813998	0.6567555117858563	0.7248223141155025	1.3375963256300978	0.3501090568492075	-0.6492119489593754	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.1952393911668952	0.2662269266426585	0.004063222051725535	0.23795296086297613	0.26622692664265846	0.004063222051725533	0.1458730277590486
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured;s__uncultured_bacterium	1.318340316169546	2.352975093560737	1.0346347773911913	0.5633405905193839	0.705919412555293	0.7729339121434984	2.340218933902977	3.3332063854759544	1.3385811660429605	0.019272438538666618	8.58512327282416e-4	0.18070706081524962	0.5681514881198919	0.02616745573556804	1	FALSE	TRUE	FALSE	0	0	0	0	0	0	0.16917088529867694
d__Bacteria;p__Proteobacteria;__;__;__;__;__	1.0147570183762007	-0.24282625483011178	-1.2575832732063126	0.5001948170154475	0.6276045144580491	0.6964458972937391	2.02872357700752	-0.3869096688059961	-1.8057156745312886	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.36216811281159145	0	0.009683228201143349	0	0	0.009683228201143344	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter;__	0.24437438179421134	-0.29637293107987633	-0.5407473128740876	0.42648758587463914	0.5361916080221643	0.6083619422699752	0.5729929542803673	-0.5527369817910789	-0.888857890841104	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.13036317880420195	0.2326166059381163	0.04129364798194304	0.2706112622139247	0.23261660593811634	0.04129364798194304	0.28854268006746764
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;__	0.381995525410518	-2.0354918919700116	-2.4174874173805296	0.8833406060033496	1.1029476189481067	1.1686749309443567	0.4324442042111551	-1.8455018688115785	-2.0685712967480705	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.08939599609380706	0.14176575847986683	0	0.22909973738006825	0.14176575847986683	0	0
